building_name,brand,model_family,acquisition_decade,unit_count,median_age_years,missing_purchase_date_count
松濤一館,大金,FTX25JVET,2000–2009,99,23.15,0
松濤一館,大金,FTX35JVET,2000–2009,11,23.15,0
松濤一館,日立,RAS-28JK,2010–2019,11,8.11,0
松濤一館,日立,RAS-36YSP,2020–2029,7,0.62,0
松濤一館,日立,RAS-36YSK,2020–2029,6,3.845,0
松濤一館,日立,RAS-28JB,2010–2019,5,10.71,0
松濤一館,日立,RAS-40JK,2010–2019,5,8.6,0
松濤一館,日立,RAS-40YSP,2020–2029,5,0.86,0
松濤一館,日立,RAS-28JKI,2010–2019,4,6.64,0
松濤一館,日立,RAS-28SK1,2020–2029,3,5.07,0
松濤一館,日立,RAS-36SK1,2020–2029,3,4.42,0
松濤一館,日立,4.1KW,2010–2019,2,12.04,0
松濤一館,日立,RAS-28JKI,2020–2029,2,5.74,0
松濤一館,日立,RAS-40SK1,2020–2029,2,4.42,0
松濤一館,日立,RAS-28JK1,2010–2019,1,7.04,0
松濤一館,日立,RAS-28QK,2010–2019,1,9.56,0
松濤一館,日立,RAS-28SKI,2020–2029,1,5.29,0
松濤一館,日立,RAS-40JB,2010–2019,1,9.56,0
松濤一館,日立,RAS-40JK,2020–2029,1,6.06,0
松濤一館,日立,RAS-40YSK,2020–2029,1,3.06,0
松濤三館,大金,FTX25JVET,2000–2009,57,23.15,0
松濤三館,日立,RAS-36YSP,2020–2029,21,0.86,0
松濤三館,日立,RAS-28JK,2010–2019,20,8.11,0
松濤三館,日立,RAS-36YSK,2020–2029,11,3.06,0
松濤三館,大金,FTX35JVET,2000–2009,8,23.15,0
松濤三館,萬士益,ME140PH32,2020–2029,8,2.86,0
松濤三館,日立,RAS-28JB,2010–2019,7,10.04,0
松濤三館,日立,RAS-40JK,2010–2019,7,8.04,0
松濤三館,日立,RAS-40JK,2020–2029,7,6.03,0
松濤三館,日立,RAS-28JKI,2020–2029,6,5.74,0
松濤三館,日立,RAS-28JKI,2010–2019,5,6.64,0
松濤三館,日立,RAS-36SK1,2020–2029,5,4.42,0
松濤三館,日立,RAS-40YSK,2020–2029,5,3.58,0
松濤三館,日立,RAS-40YSP,2020–2029,5,1.62,0
松濤三館,日立,RAS-28SK1,2020–2029,3,5.07,0
松濤三館,日立,RAS-28SKI,2020–2029,3,5.29,0
松濤三館,日立,RAS-28JK1,2010–2019,2,7.04,0
松濤三館,日立,RAS-28JK1,2020–2029,2,6.03,0
松濤三館,日立,RAS-28QK,2010–2019,2,9.56,0
松濤三館,日立,RAS-28YSK,2020–2029,1,3.65,0
松濤三館,日立,RAS-36JB,2010–2019,1,10.71,0
松濤三館,日立,RAS-40JB,2010–2019,1,9.56,0
松濤三館,日立,RAS-40SK1,2020–2029,1,4.42,0
松濤三館,萬士益,RAS-36YSP,2020–2029,1,0.77,0
松濤二館,大金,FTX25JVET,2000–2009,40,24.99,0
松濤二館,萬士益,RA-50MV,2020–2029,33,6.03,0
松濤二館,日立,RAS-28JK,2010–2019,18,8.04,0
松濤二館,大金,FTX35JVET,2000–2009,11,24.99,0
松濤二館,日立,RAS-36YSP,2020–2029,10,1.3250000000000002,0
松濤二館,日立,RAS-28JKI,2010–2019,8,6.64,0
松濤二館,日立,RAS-36YSK,2020–2029,8,4.04,0
松濤二館,日立,RAS-40JK,2010–2019,7,8.04,0
松濤二館,日立,RAS-36SK1,2020–2029,5,4.42,0
松濤二館,日立,RAS-28JB,2010–2019,3,13.04,0
松濤二館,日立,RAS-40JK,2020–2029,3,6.03,0
松濤二館,日立,RAS-40YSK,2020–2029,3,4.04,0
松濤二館,日立,RAS-40YSP,2020–2029,3,0.86,0
松濤二館,日立,RAS-28JK1,2010–2019,2,7.04,0
松濤二館,日立,RAS-28QK,2010–2019,2,9.56,0
松濤二館,日立,RAS-40WK,2010–2019,2,11.04,0
松濤二館,日立,RAS-50JB,2010–2019,2,12.04,0
松濤二館,日立,4.1KW,2010–2019,1,12.04,0
松濤二館,日立,RAD-28JB,2010–2019,1,12.04,0
松濤二館,日立,RAD-45BP,2000–2009,1,18.03,0
松濤二館,日立,RAD-50JB,2010–2019,1,12.04,0
松濤二館,日立,RAS-28JK1,2020–2029,1,6.06,0
松濤二館,日立,RAS-40JB,2010–2019,1,9.56,0
松濤二館,日立,RAS-40SK1,2020–2029,1,5.07,0
松濤二館,日立,RAS-63JB,2010–2019,1,12.81,0
松濤二館,萬士益,ME-28PH32,2020–2029,1,2.86,0
松濤二館,萬士益,RX-160MSN,2020–2029,1,1.03,0
