building_name,repair_year_label,event_category,event_count,fault_event_count,linked_to_current_inventory_count
松濤一館,2002.0,故障修繕,1,1,1
松濤一館,2003.0,故障修繕,14,14,14
松濤一館,2004.0,故障修繕,9,9,9
松濤一館,2005.0,故障修繕,6,6,6
松濤一館,2006.0,故障修繕,4,4,4
松濤一館,2006.0,非冷氣設備,2,0,2
松濤一館,2007.0,故障修繕,5,5,5
松濤一館,2007.0,非冷氣設備,2,0,2
松濤一館,2008.0,故障修繕,7,7,7
松濤一館,2008.0,非冷氣設備,1,0,1
松濤一館,2009.0,故障修繕,13,13,13
松濤一館,2009.0,非冷氣設備,2,0,2
松濤一館,2010.0,例行保養／清洗,1,0,1
松濤一館,2010.0,故障修繕,8,8,8
松濤一館,2010.0,檢查未發現故障,3,0,3
松濤一館,2011.0,故障修繕,5,5,5
松濤一館,2011.0,檢查未發現故障,1,0,1
松濤一館,2012.0,故障修繕,16,16,14
松濤一館,2012.0,檢查未發現故障,12,0,12
松濤一館,2013.0,故障修繕,41,41,40
松濤一館,2013.0,檢查未發現故障,4,0,4
松濤一館,2014.0,故障修繕,19,19,19
松濤一館,2014.0,檢查未發現故障,5,0,5
松濤一館,2015.0,故障修繕,18,18,16
松濤一館,2015.0,檢查未發現故障,2,0,2
松濤一館,2015.0,非冷氣設備,2,0,0
松濤一館,2016.0,故障修繕,43,43,41
松濤一館,2016.0,檢查未發現故障,14,0,14
松濤一館,2017.0,故障修繕,47,47,41
松濤一館,2017.0,檢查未發現故障,3,0,3
松濤一館,2018.0,例行保養／清洗,4,0,4
松濤一館,2018.0,故障修繕,48,48,44
松濤一館,2018.0,檢查未發現故障,6,0,6
松濤一館,2019.0,例行保養／清洗,7,0,7
松濤一館,2019.0,故障修繕,32,32,29
松濤一館,2019.0,檢查未發現故障,5,0,5
松濤一館,2020.0,例行保養／清洗,6,0,6
松濤一館,2020.0,故障修繕,31,31,29
松濤一館,2020.0,檢查未發現故障,12,0,11
松濤一館,2020.0,非冷氣設備,1,0,0
松濤一館,2021.0,例行保養／清洗,9,0,9
松濤一館,2021.0,故障修繕,25,25,23
松濤一館,2021.0,檢查未發現故障,4,0,4
松濤一館,2022.0,例行保養／清洗,3,0,3
松濤一館,2022.0,故障修繕,33,33,31
松濤一館,2022.0,檢查未發現故障,6,0,6
松濤一館,2022.0,非冷氣設備,3,0,0
松濤一館,2023.0,例行保養／清洗,8,0,8
松濤一館,2023.0,故障修繕,73,73,64
松濤一館,2023.0,檢查未發現故障,16,0,15
松濤一館,2023.0,行政紀錄,7,0,7
松濤一館,2023.0,非冷氣設備,7,0,0
松濤一館,2024.0,例行保養／清洗,10,0,10
松濤一館,2024.0,故障修繕,72,72,72
松濤一館,2024.0,檢查未發現故障,17,0,17
松濤一館,2025.0,例行保養／清洗,5,0,5
松濤一館,2025.0,故障修繕,59,59,59
松濤一館,2025.0,檢查未發現故障,20,0,20
松濤一館,2026.0,例行保養／清洗,3,0,3
松濤一館,2026.0,故障修繕,19,19,19
松濤一館,2026.0,檢查未發現故障,2,0,2
松濤一館,2026.0,非冷氣設備,1,0,0
松濤一館,日期缺漏,例行保養／清洗,1,0,1
松濤一館,日期缺漏,故障修繕,3,3,3
松濤一館,日期缺漏,檢查未發現故障,1,0,1
松濤三館,2003.0,故障修繕,12,12,12
松濤三館,2003.0,非冷氣設備,2,0,0
松濤三館,2004.0,故障修繕,11,11,11
松濤三館,2004.0,非冷氣設備,2,0,2
松濤三館,2005.0,故障修繕,5,5,5
松濤三館,2006.0,故障修繕,2,2,2
松濤三館,2007.0,故障修繕,8,8,6
松濤三館,2008.0,故障修繕,3,3,2
松濤三館,2009.0,故障修繕,7,7,4
松濤三館,2009.0,非冷氣設備,4,0,3
松濤三館,2010.0,故障修繕,7,7,6
松濤三館,2010.0,檢查未發現故障,2,0,2
松濤三館,2010.0,非冷氣設備,2,0,0
松濤三館,2011.0,故障修繕,1,1,1
松濤三館,2012.0,故障修繕,18,18,15
松濤三館,2012.0,檢查未發現故障,13,0,9
松濤三館,2012.0,非冷氣設備,1,0,0
松濤三館,2013.0,故障修繕,25,25,23
松濤三館,2013.0,檢查未發現故障,2,0,2
松濤三館,2013.0,非冷氣設備,1,0,0
松濤三館,2014.0,故障修繕,11,11,8
松濤三館,2014.0,檢查未發現故障,3,0,2
松濤三館,2014.0,非冷氣設備,2,0,0
松濤三館,2015.0,故障修繕,27,27,21
松濤三館,2015.0,檢查未發現故障,4,0,4
松濤三館,2015.0,非冷氣設備,1,0,0
松濤三館,2016.0,例行保養／清洗,1,0,0
松濤三館,2016.0,故障修繕,34,34,29
松濤三館,2016.0,檢查未發現故障,16,0,15
松濤三館,2016.0,非冷氣設備,7,0,0
松濤三館,2017.0,例行保養／清洗,6,0,4
松濤三館,2017.0,故障修繕,37,37,27
松濤三館,2017.0,檢查未發現故障,4,0,3
松濤三館,2017.0,非冷氣設備,2,0,0
松濤三館,2018.0,例行保養／清洗,3,0,0
松濤三館,2018.0,故障修繕,51,51,43
松濤三館,2018.0,檢查未發現故障,8,0,7
松濤三館,2018.0,非冷氣設備,2,0,0
松濤三館,2019.0,例行保養／清洗,4,0,3
松濤三館,2019.0,故障修繕,35,35,32
松濤三館,2019.0,檢查未發現故障,9,0,9
松濤三館,2019.0,非冷氣設備,2,0,0
松濤三館,2020.0,例行保養／清洗,10,0,8
松濤三館,2020.0,故障修繕,36,36,31
松濤三館,2020.0,檢查未發現故障,20,0,20
松濤三館,2020.0,非冷氣設備,2,0,0
松濤三館,2021.0,例行保養／清洗,11,0,9
松濤三館,2021.0,故障修繕,35,35,31
松濤三館,2021.0,檢查未發現故障,6,0,6
