date,gregorian_year,roc_year,month,songtao_total_kwh,valid_building_count,all_three_buildings_valid,strict_model_include,quality_status
2020-01-01,2020,109,1,,1,False,False,有效
2020-02-01,2020,109,2,,1,False,False,有效
2020-03-01,2020,109,3,,1,False,False,有效
2020-04-01,2020,109,4,,1,False,False,有效
2020-05-01,2020,109,5,,1,False,False,有效
2020-06-01,2020,109,6,,1,False,False,有效
2020-07-01,2020,109,7,,1,False,False,有效
2020-08-01,2020,109,8,,1,False,False,有效
2020-09-01,2020,109,9,,1,False,False,有效
2020-10-01,2020,109,10,,1,False,False,有效
2020-11-01,2020,109,11,,1,False,False,有效
2020-12-01,2020,109,12,,1,False,False,有效
2021-01-01,2021,110,1,104825.65,3,True,True,有效
2021-02-01,2021,110,2,52197.5,3,True,True,有效
2021-03-01,2021,110,3,162241.0,3,True,True,有效
2021-04-01,2021,110,4,151324.4,3,True,True,有效
2021-05-01,2021,110,5,175411.0,3,True,True,有效
2021-06-01,2021,110,6,80786.0,3,True,True,有效
2021-07-01,2021,110,7,48725.0,3,True,True,有效
2021-08-01,2021,110,8,37878.0,3,True,True,有效
2021-09-01,2021,110,9,100931.0,3,True,True,有效
2021-10-01,2021,110,10,142263.41,3,True,True,有效
2021-11-01,2021,110,11,150208.14,3,True,True,有效
2021-12-01,2021,110,12,161225.95,3,True,True,有效
2022-01-01,2022,111,1,111889.6,3,True,True,有效
2022-02-01,2022,111,2,55517.62,3,True,True,有效
2022-03-01,2022,111,3,170691.0,3,True,True,有效
2022-04-01,2022,111,4,148050.0,3,True,True,有效
2022-05-01,2022,111,5,132817.0,3,True,True,有效
2022-06-01,2022,111,6,112009.0,3,True,True,有效
2022-07-01,2022,111,7,44954.0,3,True,True,有效
2022-08-01,2022,111,8,52131.0,3,True,True,有效
2022-09-01,2022,111,9,82915.9,3,True,True,有效
2022-10-01,2022,111,10,144135.6,3,True,True,有效
2022-11-01,2022,111,11,161382.25,3,True,True,有效
2022-12-01,2022,111,12,164384.5,3,True,True,有效
2023-01-01,2023,112,1,92304.0,3,True,True,有效
2023-02-01,2023,112,2,60897.105,3,True,True,有效
2023-03-01,2023,112,3,170447.0,3,True,True,有效
2023-04-01,2023,112,4,151545.8,3,True,True,有效
2023-05-01,2023,112,5,163950.0,3,True,True,有效
2023-06-01,2023,112,6,123756.0,3,True,True,有效
2023-07-01,2023,112,7,46761.605,3,True,True,有效
2023-08-01,2023,112,8,51081.0,3,True,True,有效
2023-09-01,2023,112,9,97558.11875,3,True,True,有效
2023-10-01,2023,112,10,149893.8,3,True,True,有效
2023-11-01,2023,112,11,166012.25,3,True,True,有效
2023-12-01,2023,112,12,163002.75,3,True,True,有效
2024-01-01,2024,113,1,99858.0,3,True,True,有效
2024-02-01,2024,113,2,83968.0,3,True,True,有效
2024-03-01,2024,113,3,179435.0,3,True,True,有效
2024-04-01,2024,113,4,160096.0,3,True,True,有效
2024-05-01,2024,113,5,188234.0,3,True,True,有效
2024-06-01,2024,113,6,152214.0,3,True,True,有效
2024-07-01,2024,113,7,64226.0,3,True,True,有效
2024-08-01,2024,113,8,61178.0,3,True,True,有效
2024-09-01,2024,113,9,188662.0,3,True,True,有效
2024-10-01,2024,113,10,198184.0,3,True,True,有效
2024-11-01,2024,113,11,192439.0,3,True,True,有效
2024-12-01,2024,113,12,202449.0,3,True,True,有效
2025-01-01,2025,114,1,81892.0,3,True,True,有效
2025-02-01,2025,114,2,83245.0,3,True,True,有效
2025-03-01,2025,114,3,176188.0,3,True,True,有效
2025-04-01,2025,114,4,173003.0,3,True,True,有效
2025-05-01,2025,114,5,155462.0,3,True,True,有效
2025-06-01,2025,114,6,72870.0,3,True,False,統計低離群（保留原值）
2025-07-01,2025,114,7,23747.0,3,True,False,統計低離群（保留原值）
2025-08-01,2025,114,8,24804.0,3,True,False,統計低離群（保留原值）
2025-09-01,2025,114,9,,2,False,False,來源明示電表異常
2025-10-01,2025,114,10,154238.0,3,True,True,有效
2025-11-01,2025,114,11,166729.0,3,True,True,有效
2025-12-01,2025,114,12,177761.0,3,True,True,有效
2026-01-01,2026,115,1,94718.0,3,True,True,有效
2026-02-01,2026,115,2,40735.0,3,True,True,有效
2026-03-01,2026,115,3,141303.0,3,True,True,有效
2026-04-01,2026,115,4,141669.0,3,True,True,有效
2026-05-01,2026,115,5,173649.0,3,True,True,有效
2026-06-01,2026,115,6,146696.0,3,True,True,有效
2026-07-01,2026,115,7,,0,False,False,缺值
2026-08-01,2026,115,8,,0,False,False,缺值
2026-09-01,2026,115,9,,0,False,False,缺值
2026-10-01,2026,115,10,,0,False,False,缺值
2026-11-01,2026,115,11,,0,False,False,缺值
2026-12-01,2026,115,12,,0,False,False,缺值
