semester,opening_date_start,opening_date_end,source_text,parse_quality,songtao_resident_count,population_source_period,population_resolution
110-1,2021-09-10,2021-09-12,110年9月10日12日,來源缺少「至」字，依同月日期區間解析,2087,110,學年值，兩學期共用
110-2,2022-02-19,2022-02-20,111年2月19日至20日,來源日期格式明確,2087,110,學年值，兩學期共用
111-1,2022-08-26,2022-08-28,111年8月26日至28日,來源日期格式明確,1885,111,學年值，兩學期共用
111-2,2023-02-11,2023-02-11,112年2月11日,來源日期格式明確,1885,111,學年值，兩學期共用
112-1,2023-09-02,2023-09-03,112年9月2日至9月3日,來源日期格式明確,2111,112,學年值，兩學期共用
112-2,2024-02-17,2024-02-18,113年2月17日至2月18日,來源日期格式明確,2111,112,學年值，兩學期共用
113-1,2024-08-31,2024-09-01,113年8月31日至9月1日,來源日期格式明確,2093,113-1,學期值
113-2,2025-02-15,2025-02-16,114年2月15日至2月16日,來源日期格式明確,1974,113-2,學期值
114-1,2025-09-06,2025-09-07,114年9月6日至9月7日,來源日期格式明確,2011,114-1,學期值
114-2,2026-02-21,2026-02-22,115年2月21日至2月22日,來源日期格式明確,1948,114-2,學期值
